activity_type,quantity,frequency,impact
Walking,3,1,Low
Carpooling,2,1,Low
Electricity Saving,1,1,Low
Carpooling,9,1,Low
Carpooling,82,7,High
Electricity Saving,4,2,Low
Cycling,4,2,Low
Tree Planting,1,1,Low
Walking,4,1,Low
LED Usage,42,4,Medium
Reusable Bottle,68,7,High
Walking,25,7,High
LED Usage,73,6,High
Cycling,23,6,High
Walking,1,2,Low
Tree Planting,2,1,Medium
LED Usage,39,6,Medium
Tree Planting,3,2,High
Carpooling,8,2,Low
Tree Planting,10,2,High
LED Usage,8,1,Low
LED Usage,43,4,Medium
Carpooling,97,7,High
LED Usage,21,2,Low
Electricity Saving,33,6,High
Tree Planting,1,1,Low
Electricity Saving,31,7,High
Carpooling,9,2,Low
Walking,1,1,Low
Public Transport,68,7,High
Walking,12,5,Medium
Reusable Bottle,77,6,High
Walking,33,6,High
LED Usage,10,2,Low
Public Transport,11,5,Medium
Tree Planting,4,1,High
Tree Planting,10,2,High
Public Transport,35,3,Medium
Cycling,26,6,High
Cycling,3,2,Low
Carpooling,4,1,Low
Walking,31,5,High
Public Transport,8,1,Low
Tree Planting,8,2,High
Carpooling,60,6,High
LED Usage,59,5,Medium
Walking,2,1,Low
LED Usage,19,3,Low
Carpooling,55,5,High
Walking,36,5,High
Carpooling,1,2,Low
Walking,23,6,High
Reusable Bottle,18,1,Low
Reusable Bottle,16,2,Low
Carpooling,2,2,Low
LED Usage,52,5,Medium
Cycling,36,7,High
Walking,4,2,Low
Walking,2,1,Low
Reusable Bottle,14,1,Low
Tree Planting,1,1,Medium
Reusable Bottle,67,6,High
Cycling,2,1,Low
Electricity Saving,15,3,Medium
Electricity Saving,2,2,Low
Cycling,10,4,Medium
Tree Planting,2,1,Medium
Carpooling,17,3,Medium
Cycling,26,5,High
Cycling,31,7,High
Public Transport,9,1,Low
Public Transport,10,1,Low
Carpooling,14,5,Medium
Carpooling,79,5,High
Walking,15,5,Medium
LED Usage,39,6,Medium
LED Usage,9,2,Low
Public Transport,82,6,High
Reusable Bottle,30,4,Medium
Reusable Bottle,97,6,High
Walking,22,7,High
Tree Planting,1,1,Low
Carpooling,20,3,Medium
Reusable Bottle,80,6,High
Tree Planting,3,2,High
Tree Planting,1,1,Low
Tree Planting,1,1,Medium
Carpooling,81,6,High
Reusable Bottle,29,4,Medium
Electricity Saving,8,3,Medium
LED Usage,21,2,Low
Public Transport,69,7,High
Electricity Saving,19,6,High
Walking,20,7,High
Cycling,15,5,Medium
Public Transport,15,3,Medium
Tree Planting,1,1,Medium
Carpooling,56,7,High
Walking,14,4,Medium
Public Transport,3,1,Low
Electricity Saving,2,2,Low
Electricity Saving,42,6,High
Tree Planting,1,1,Low
Cycling,9,3,Medium
Reusable Bottle,45,4,Medium
Carpooling,4,2,Low
LED Usage,30,5,Medium
LED Usage,93,7,High
LED Usage,4,2,Low
Public Transport,57,5,High
Walking,29,6,High
LED Usage,58,4,Medium
Electricity Saving,25,7,High
Cycling,29,5,High
Carpooling,24,3,Medium
LED Usage,81,6,High
Tree Planting,6,4,High
LED Usage,44,6,Medium
Public Transport,7,2,Low
Public Transport,77,6,High
Electricity Saving,45,6,High
Tree Planting,1,1,Medium
LED Usage,54,5,Medium
Carpooling,71,7,High
Public Transport,46,6,High
LED Usage,25,1,Low
Tree Planting,1,1,Low
Cycling,2,2,Low
Walking,12,5,Medium
Carpooling,85,6,High
Reusable Bottle,41,4,Medium
Cycling,4,1,Low
Public Transport,74,6,High
Cycling,23,5,High
Reusable Bottle,15,3,Low
LED Usage,58,5,Medium
Reusable Bottle,24,2,Low
Reusable Bottle,41,6,Medium
Tree Planting,9,2,High
Tree Planting,1,1,Medium
Carpooling,21,4,Medium
Walking,2,1,Low
Electricity Saving,23,6,High
Walking,12,4,Medium
Reusable Bottle,29,4,Medium
Electricity Saving,17,5,Medium
Cycling,28,6,High
Cycling,10,4,Medium
Electricity Saving,42,6,High
Reusable Bottle,9,2,Low
Reusable Bottle,13,2,Low
Electricity Saving,24,7,High
Public Transport,75,5,High
